LSV,Org/Des,Delay_hours
L,OMDB,0.2786111111111111
S,EDDH,0.2683333333333333
S,EGKK,0.6080555555555556
L,EHAM,0.7858333333333334
S,EHAM,0.8094444444444444
L,LMML,0.2611111111111111
S,LMML,0.2758333333333333
L,EPWA,0.32472222222222225
S,KJFK,0.25
L,KSFO,0.37972222222222224
S,KBOS,1.9097222222222223
L,KMIA,0.34805555555555556
S,CYUL,0.26666666666666666
L,LLBG,0.2816666666666667
S,EGBB,0.32222222222222224
L,LFPG,0.2827777777777778
S,EHAM,0.26666666666666666
L,EHAM,0.6038888888888889
S,ELLX,0.25
S,EBBR,0.37194444444444447
L,EBBR,1.0863888888888888
L,EDDT,0.3605555555555556
L,EDDT,0.2836111111111111
S,EDDF,0.25
L,EDDF,0.3333333333333333
S,EDDF,0.5666666666666667
L,EDDF,0.47638888888888886
S,EDDS,0.39611111111111114
S,EKCH,0.3
L,EKCH,0.2627777777777778
S,LOWG,0.2802777777777778
L,LOWW,0.3522222222222222
S,LIRQ,0.39444444444444443
L,LIRF,1.3666666666666667
L,LGAV,0.34444444444444444
S,LEMD,0.31666666666666665
S,LHBP,0.6833333333333333
S,LSGG,0.2833333333333333
L,LOWW,0.4797222222222222
S,LOWW,0.4519444444444444
S,LDZA,0.2761111111111111
L,OTBD,0.32722222222222225
S,ENGM,0.25
S,LTBA,0.2586111111111111
S,LPPR,0.27666666666666667
S,LPPT,0.28694444444444445
L,DTTA,0.6883333333333334
S,DTTA,0.7463888888888889
L,KEWR,4.4425
S,KEWR,5.022222222222222
L,LEBL,0.2561111111111111
S,LEBL,0.49277777777777776
S,KMCO,0.45
S,FIMP,0.2833333333333333
L,OOMS,0.3611111111111111
L,ZUUU,0.6536111111111111
S,ZUUU,0.6161111111111112
L,LFPG,0.4791666666666667
S,LFPG,0.755
L,EFHK,0.63
S,EFHK,0.35
L,EFHK,1.2152777777777777
S,EFHK,1.4666666666666666
S,LIRF,0.32916666666666666
S,EGLL,0.25
S,EGLL,0.4
S,EGLC,0.3
S,EIDW,0.3347222222222222
S,EIDW,0.4286111111111111
S,OMDB,0.5230555555555556
L,EDDK,0.3713888888888889
S,EDDK,0.8922222222222222
S,EDDK,0.27694444444444444
L,EDDH,0.5413888888888889
S,EDDH,0.7697222222222222
S,EDDL,0.26416666666666666
S,EDDT,0.49666666666666665
S,EDDT,0.5788888888888889
L,LPPT,0.2658333333333333
S,LPPT,0.6011111111111112
L,EGKK,0.43777777777777777
S,EGKK,0.7458333333333333
S,BIKF,0.2902777777777778
S,BKPR,0.8277777777777777
L,BKPR,0.5302777777777777
S,LJLJ,0.3902777777777778
L,EDLP,0.5766666666666667
S,EDLP,0.45694444444444443
L,LYBE,0.28305555555555556
S,LYBE,0.35944444444444446
S,EHAM,0.7444444444444445
S,EHAM,0.6766666666666666
S,LMML,0.31472222222222224
S,EDDF,0.5469444444444445
S,EDDM,0.40555555555555556
S,EDDM,0.33444444444444443
L,EDDM,2.279166666666667
S,EDDM,2.256388888888889
S,EPWA,0.29638888888888887
S,KORD,0.4166666666666667
S,KJFK,0.45
S,KEWR,0.25
S,KSFO,0.65
L,KSFO,0.4886111111111111
S,KLAX,0.6333333333333333
L,KBOS,1.1658333333333333
S,KMIA,0.5872222222222222
S,CYUL,0.36666666666666664
S,SBGR,0.3
S,VIDP,0.2833333333333333
L,VIDP,0.3663888888888889
S,RJAA,1.3166666666666667
L,WSSS,0.29333333333333333
S,ZSPD,0.31666666666666665
S,HECA,0.3333333333333333
S,OOMS,0.3333333333333333
S,LLBG,0.31666666666666665
S,FAJS,0.6666666666666666
L,EGLL,0.33
S,EGLL,0.4166666666666667
S,EGCC,0.5333333333333333
L,EGCC,0.3925
L,EIDW,0.28444444444444444
L,EGBB,0.32222222222222224
S,EGLC,1.4166666666666667
L,EGLC,1.3358333333333334
S,EGLC,0.38333333333333336
L,EGLC,0.48388888888888887
S,EGLC,0.8
L,EGLC,0.8172222222222222
L,EGLC,0.4558333333333333
L,LFMN,0.49166666666666664
L,LFMN,0.38972222222222225
L,LFPG,0.46805555555555556
S,LFPG,0.4666666666666667
L,LFPG,0.40305555555555556
L,EHAM,0.30722222222222223
S,EHAM,0.3333333333333333
L,EHAM,0.4166666666666667
S,EHAM,0.9
L,EHAM,0.625
S,EHAM,0.6
L,ELLX,0.4711111111111111
S,EBBR,0.75
L,EBBR,0.5969444444444445
L,EBBR,0.3163888888888889
S,EBBR,0.5
L,EBBR,0.25166666666666665
S,EDDV,0.26666666666666666
S,EDDV,0.31777777777777777
L,EDDV,0.4872222222222222
S,EDDV,0.26611111111111113
S,EDDT,0.26666666666666666
L,EDDT,0.4855555555555556
S,EDDT,0.3333333333333333
L,EDDT,0.55
S,EDDT,0.4666666666666667
L,EDDT,0.7730555555555556
L,EDDT,0.31166666666666665
S,EDDT,0.5
L,EDDT,0.7011111111111111
S,EDDL,1.15
L,EDDL,0.9225
